,Suburb,Medium House Price,Growth Percentage,Latitude,Longitude,Nearest Urban Center,Nearest Airport,Nearest Train Station
0,Alexander Heights,430000,3.6,-31.828,115.867,14.0,16.0,7.0
1,Alfred Cove,805000,5.2,-32.034,115.809,10.0,18.0,3.7
2,Alkimos,400000,-1.5,-31.629,115.688,40.0,43.0,8.3
3,Applecross,1600000,0.0,-32.016,115.836,7.0,15.0,2.0
4,Ardross,1050000,0.0,-32.025,115.841,7.9,15.0,2.2
5,Armadale,240000,-5.9,-32.152,116.008,26.0,24.0,0.5
6,Ascot,710000,7.6,-31.941,115.923,6.3,4.2,2.7
7,Ashby,460500,0.1,-31.734,115.792,25.0,28.0,2.6
8,Ashfield,430000,-9.5,-31.915,115.938,8.7,3.9,0.3
9,Attadale,1033500,-9.9,-32.026,115.801,9.5,18.0,4.6
10,Atwell,507000,-2.6,-32.133,115.861,20.0,24.0,0.9
11,Aubin Grove,532000,-3.3,-32.168,115.861,17.0,27.0,2.1
12,Aveley,445000,-2.8,-31.781,115.988,,,
13,Balcatta,487750,-2.4,-31.864,115.817,11.0,17.0,2.9
14,Baldivis,390000,-3.6,-32.332,115.822,8.7,46.0,5.1
15,Balga,315000,-6.7,-31.861,115.843,11.0,15.0,4.8
16,Ballajura,400000,-5.9,-31.841,115.896,13.0,13.0,8.5
17,Banksia Grove,382500,-2.9,-31.698,115.815,29.0,31.0,6.8
18,Bassendean,475000,-5.9,-31.905,115.952,10.0,4.2,0.5
19,Bateman,705000,-1.9,-32.06,115.844,12.0,18.0,1.0
20,Bayswater,570000,0.0,-31.918,115.913,6.6,5.7,0.0
21,Beaconsfield,735000,8.3,-32.068,115.764,15.0,24.0,1.3
22,Beckenham,415000,3.6,-32.014,115.965,12.0,8.2,1.4
23,Bedford,630000,0.0,-31.912,115.893,5.8,7.7,1.4
24,Bedfordale,720000,3.9,-32.174,116.051,30.0,27.0,4.2
25,Beechboro,368500,-1.7,-31.867,115.925,12.0,9.0,4.6
26,Beeliar,489500,-3.1,-32.131,115.822,19.0,25.0,3.1
27,Beldon,458000,-0.4,-31.777,115.757,22.0,27.0,2.2
28,Bellevue,313500,-19.1,-31.899,116.025,17.0,7.1,2.4
29,Belmont,440000,-3.8,-31.956,115.921,5.8,4.7,2.0
30,Bennett Springs,430000,-5.1,-31.859,115.945,,,
31,Bentley,455000,-2.2,-32.002,115.919,7.7,8.2,0.8
32,Bertram,353000,-7.6,-32.247,115.848,11.0,36.0,1.4
33,Bibra Lake,530000,-2.1,-32.093,115.837,15.0,21.0,2.9
34,Bickley,880000,40.8,-32.005,116.09,22.0,14.0,9.9
35,Bicton,997500,-8.3,-32.03,115.785,11.0,20.0,3.1
36,Booragoon,834500,0.4,-32.036,115.832,9.3,17.0,2.4
37,Boya,490000,-16.2,-31.915,116.054,19.0,8.7,4.3
38,Brabham,420000,5.0,-31.827,115.9746,,,
39,Brentwood,610500,-5.2,-32.041,115.85,9.6,16.0,0.8
40,Brookdale,269000,-5.3,-32.161,115.982,26.0,25.0,3.0
41,Bull Creek,732500,4.6,-32.065,115.859,12.0,17.0,0.9
42,Bullsbrook,326000,-6.9,-31.671,116.031,36.0,31.0,5.9
43,Burns Beach,800000,-3.0,-31.721,115.721,29.0,34.0,2.8
44,Burswood,805000,28.2,-31.96,115.903,4.2,6.4,0.3
45,Butler,381000,-4.7,-31.649,115.71,37.0,40.0,5.3
46,Byford,385000,-5.3,-32.222,116.007,26.0,32.0,7.6
47,Calista,255000,-15.0,-32.247,115.807,7.3,37.0,2.1
48,Camillo,239000,-11.5,-32.115,116.002,,,
49,Canning Vale,545000,-2.7,-32.058,115.918,13.0,14.0,3.4
50,Cannington,397500,-0.6,-32.02,115.939,10.0,9.2,0.9
51,Cardup,615000,-22.6,-32.249,116.008,25.0,35.0,11.0
52,Carine,790000,0.0,-31.851,115.778,14.0,20.0,1.8
53,Carlisle,480000,-5.9,-31.977,115.916,5.9,6.3,0.6
54,Carmel,545000,-14.7,-32.019,116.084,22.0,14.0,9.9
55,Carramar,480000,-7.5,-31.703,115.777,29.0,32.0,3.5
56,Casuarina,724250,-17.8,-32.238,115.875,13.0,34.0,3.0
57,Caversham,440000,0.0,-31.874,115.977,14.0,7.5,2.5
58,Champion Lakes,417500,-1.8,-32.122,115.989,22.0,20.0,2.3
59,Chidlow,425750,5.3,-31.863,116.266,40.0,30.0,0.4
60,Churchlands,1352500,0.2,-31.92,115.788,7.8,17.0,3.3
61,City Beach,1800000,1.1,-31.938,115.754,10.0,20.0,5.1
62,Claremont,1575000,18.9,-31.981,115.781,7.9,18.0,0.1
63,Clarkson,365000,-6.6,-31.678,115.721,34.0,37.0,2.2
64,Cloverdale,416500,-3.7,-31.964,115.934,7.1,4.1,2.9
65,Cockburn Central,1465000,120.8,-32.121,115.848,,,
66,Como,890000,-2.2,-31.99,115.87,4.0,11.0,2.6
67,Connolly,680000,1.5,-31.754,115.748,25.0,29.0,2.1
68,Coogee,800000,-0.9,-32.116,115.766,19.0,27.0,0.1
69,Coolbellup,425000,-4.8,-32.083,115.807,15.0,22.0,2.1
70,Coolbinia,1150000,4.5,-31.914,115.858,4.7,11.0,3.2
71,Cooloongup,260000,-10.0,-32.3,115.763,2.1,44.0,1.1
72,Cottesloe,2145000,0.2,-31.998,115.763,10.0,20.0,0.2
73,Craigie,430000,-1.1,-31.785,115.768,21.0,26.0,1.8
74,Crawley,519750,-44.0,-31.984,115.815,5.2,15.0,2.5
75,Currambine,513000,-4.8,-31.735,115.744,27.0,31.0,1.4
76,Daglish,1000000,-7.0,-31.954,115.809,4.7,15.0,0.4
77,Dalkeith,2330000,-8.6,-31.995,115.799,7.2,17.0,2.3
78,Darch,560000,2.1,-31.813,115.845,16.0,18.0,5.8
79,Darling Downs,685000,21.2,-32.182,115.988,26.0,27.0,3.9
80,Darlington,535000,-9.3,-31.919,116.079,21.0,11.0,2.0
81,Dayton,420000,-9.8,-31.8518,115.9755,,,
82,Dianella,587500,-1.3,-31.883,115.862,8.1,12.0,5.1
83,Doubleview,721000,0.4,-31.9,115.779,9.8,18.0,2.5
84,Duncraig,690500,0.8,-31.833,115.766,16.0,22.0,2.3
85,East Cannington,449000,-5.5,-32.011,115.957,11.0,7.9,1.2
86,East Fremantle,1150000,4.5,-32.045,115.758,14.0,23.0,1.5
87,East Perth,1002500,-8.9,-31.943,115.877,2.2,8.5,0.1
88,East Victoria Park,623500,-1.0,-31.984,115.903,5.2,7.8,0.8
89,Eden Hill,380000,-7.3,-31.892,115.946,11.0,5.8,1.3
90,Edgewater,520000,6.1,-31.761,115.786,23.0,26.0,1.4
91,Eglinton,427000,0.5,-31.853,115.806,12.0,18.0,1.3
92,Ellenbrook,360000,-6.9,-31.791,115.974,21.0,17.0,8.6
93,Embleton,450000,-6.3,-31.897,115.917,8.5,6.8,2.4
94,Ferndale,445000,4.7,-32.03,115.925,10.0,11.0,2.6
95,Floreat,1350000,3.8,-31.938,115.792,6.6,17.0,2.5
96,Forrestdale,422500,5.3,-32.153,115.948,23.0,24.0,0.3
97,Forrestfield,399000,-1.8,-31.987,116.011,15.0,6.6,6.7
98,Fremantle,785000,0.7,-32.036,115.765,13.0,22.0,1.4
99,Girrawheen,313500,-9.1,-31.836,115.831,13.0,17.0,3.4
100,Glen Forrest,560000,12.2,-31.909,116.1,23.0,13.0,0.8
101,Glendalough,493675,9.7,-31.921,115.814,5.7,15.0,1.1
102,Golden Bay,380000,3.0,-32.43,115.75,12.0,58.0,11.0
103,Gooseberry Hill,685000,3.9,-31.956,116.05,18.0,8.0,6.4
104,Gosnells,305000,-5.3,-32.072,116.002,19.0,15.0,0.2
105,Greenmount,458750,-1.8,-31.899,116.058,20.0,9.7,4.4
106,Greenwood,491250,-1.7,-31.831,115.798,15.0,20.0,1.5
107,Guildford,656250,2.9,-31.899,115.972,12.0,4.6,0.6
108,Gwelup,815000,-5.5,-31.87,115.792,11.0,18.0,2.9
109,Hamersley,525000,-0.9,-31.849,115.82,12.0,17.0,2.3
110,Hamilton Hill,472500,-0.5,-32.076,115.78,15.0,23.0,2.9
111,Hammond Park,540000,1.2,-32.168,115.851,17.0,28.0,3.0
